City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kapaa,22.08,-159.32,68,59,4,10.96,US,1608217454
Kaitangata,-46.28,169.85,54,79,100,3.0,NZ,1608217471
Rikitea,-23.12,-134.97,76.17,76,35,13.69,PF,1608217461
Fortuna,40.6,-124.16,48,100,90,8.05,US,1608217694
Punta Arenas,-53.15,-70.92,51.01,53,40,32.21,CL,1608217400
Avarua,-21.21,-159.78,80.6,88,95,9.17,CK,1608217456
Busselton,-33.65,115.33,57.99,76,0,1.99,AU,1608217453
Andenes,69.31,16.12,30.2,68,0,18.34,NO,1608217695
Bredasdorp,-34.53,20.04,73.4,60,52,10.29,ZA,1608217468
Port Alfred,-33.59,26.89,75,79,97,3.0,ZA,1608217473
Atuona,-9.8,-139.03,78.3,75,5,18.81,PF,1608217457
Saint Anthony,45.02,-93.22,24.01,73,90,6.93,US,1608217696
Ushuaia,-54.8,-68.3,42.8,81,75,38.03,AR,1608217309
Portland,45.52,-122.68,46.4,75,90,9.17,US,1608217096
Albany,42.6,-73.97,21,77,100,1.99,US,1608217396
Dikson,73.51,80.55,-17.39,88,100,17.78,RU,1608217446
Longyearbyen,78.22,15.64,14,66,40,24.16,SJ,1608217490
Bengkulu,-3.8,102.27,75.79,87,99,4.79,ID,1608217451
Lavrentiya,65.58,-171.0,7.56,93,100,24.47,RU,1608217452
Talcahuano,-36.72,-73.12,62.6,67,20,10.29,CL,1608217697
Grindavik,63.84,-22.43,39.2,69,0,19.46,IS,1608217697
Zhangjiakou,40.81,114.88,12.96,81,1,6.85,CN,1608217470
Broome,42.25,-75.83,19,85,90,11.41,US,1608217481
Westport,41.14,-73.36,27,85,90,26.4,US,1608217698
Constitución,-35.33,-72.42,65.46,58,3,5.19,CL,1608217592
Arrondissement de Saint-Denis,48.92,2.33,54,71,20,10.29,FR,1608217699
Hermanus,-34.42,19.23,77,53,16,5.01,ZA,1608217252
Mehamn,71.04,27.85,17.6,78,0,12.75,NO,1608217597
Sakakah,29.97,40.21,64.4,42,20,9.17,SA,1608217478
Upernavik,72.79,-56.15,10.69,84,74,6.06,GL,1608217469
Kropotkin,45.44,40.58,36.75,81,67,3.18,RU,1608217700
Hilo,19.73,-155.09,66.99,89,47,4.0,US,1608217308
Forsytheganj,52.63,29.73,33.21,95,100,2.89,BY,1608217700
Fairbanks,64.84,-147.72,-7.6,43,1,2.24,US,1608217584
Arraial do Cabo,-22.97,-42.03,80.6,78,75,3.36,BR,1608217294
Gagarin,55.55,35.0,34.56,94,100,13.65,RU,1608217475
Bubaque,11.28,-15.83,82.26,48,3,7.38,GW,1608217516
Abapó,-18.83,-63.47,90.64,44,73,2.84,BO,1608217702
Vaini,-21.2,-175.2,75.2,83,75,8.05,TO,1608217458
Nizwá,22.93,57.53,61.66,38,12,1.95,OM,1608217560
Hong Kong,22.29,114.16,60.01,71,14,6.08,HK,1608217227
Torbay,47.67,-52.73,28.99,79,90,17.22,CA,1608217399
Manitouwadge,49.12,-85.84,32,74,90,2.24,CA,1608217703
Andros Town,24.7,-77.77,77,73,20,11.41,BS,1608217703
Cherskiy,68.75,161.3,-18.74,87,99,2.84,RU,1608217465
Castro,-24.79,-50.01,72.61,79,90,6.2,BR,1608217250
Arlit,18.74,7.39,86.45,12,16,4.68,NE,1608217704
Narsaq,60.92,-46.05,42.8,30,75,13.87,GL,1608217498
Saint Peter,13.25,-59.62,86,66,40,21.92,BB,1608217705
Mataura,-46.19,168.86,54,84,100,4.0,NZ,1608217458
Saskylakh,71.92,114.08,-34.94,82,22,2.28,RU,1608217481
Kuybyshevo,47.81,38.91,30.33,93,38,3.85,RU,1608217705
Oswego,43.45,-76.15,21.99,85,90,4.7,US,1608217706
Saint George,37.1,-113.58,30.2,58,1,4.7,US,1608217426
Airai,-8.93,125.41,61.97,100,100,2.15,TL,1608217446
Poum,-20.23,164.02,78.26,72,100,16.06,NC,1608217600
Sueyoshichō-ninokata,31.65,131.02,32,87,0,10.0,JP,1608217707
Liverpool,53.41,-2.98,50,81,75,12.75,GB,1608217629
Badarganj,25.67,89.05,66.43,46,0,5.61,BD,1608217640
Juegang,32.32,121.19,39.99,71,80,4.09,CN,1608217707
East London,-33.02,27.91,69.8,88,75,12.75,ZA,1608217537
Whyalla,-33.03,137.58,62.6,67,75,14.99,AU,1608217491
Yangi Marg`ilon,40.43,71.72,23,79,0,2.24,UZ,1608217520
Takāb,36.4,47.11,29.82,94,99,2.62,IR,1608217708
Puerto Ayora,-0.74,-90.35,75.2,73,0,12.75,EC,1608217464
George Town,5.41,100.34,78.8,88,40,3.56,MY,1608217432
Corrientes,-27.48,-58.83,90,58,20,2.24,AR,1608217709
Saint-Philippe,-21.36,55.77,81,74,0,18.34,RE,1608217479
Jalu,29.03,21.55,65.7,50,28,7.83,LY,1608217541
Margate,51.38,1.39,52,74,0,5.99,GB,1608217404
Santana do Livramento,-30.89,-55.53,81.63,52,0,7.67,BR,1608217710
New Norfolk,-42.78,147.06,57.99,91,100,1.32,AU,1608217483
Druzhba,52.04,33.95,32.43,98,100,6.73,UA,1608217711
Jamestown,42.1,-79.24,26.01,92,90,2.3,US,1608217449
Povenets,62.85,34.83,25.39,95,94,11.34,RU,1608217711
Slave Lake,55.28,-114.77,6.8,84,90,21.92,CA,1608217711
Port Elizabeth,-33.92,25.57,73.4,73,20,16.11,ZA,1608217451
Butaritari,3.07,172.79,81.61,80,100,13.76,KI,1608217472
Porto Santo,33.07,-16.34,64.4,59,20,3.36,PT,1608217478
Yumen,40.28,97.2,13.6,84,100,8.79,CN,1608217712
Geraldton,-28.77,114.6,71.6,64,0,23.04,AU,1608217470
Porbandar,21.64,69.61,71.35,48,35,17.96,IN,1608217591
Adamantas,36.73,24.43,59,67,64,12.75,GR,1608217713
Norman Wells,65.28,-126.83,-50.8,71,20,2.24,CA,1608217487
San Quintín,30.48,-115.95,55.87,51,71,4.7,MX,1608217713
Nishihara,26.18,127.76,62.6,67,90,9.17,JP,1608217540
Cape Town,-33.93,18.42,75.2,57,0,26.4,ZA,1608217417
Sirte,31.21,16.59,65.12,52,55,8.23,LY,1608217714
Bluff,-46.6,168.33,54,84,100,4.0,NZ,1608217468
Saanen,46.49,7.26,45,79,22,0.89,CH,1608217715
Camacha,33.08,-16.33,64.4,59,20,3.36,PT,1608217715
Tuktoyaktuk,69.45,-133.04,-14.8,75,90,3.36,CA,1608217489
Vanavara,60.34,102.28,-6.23,91,100,6.44,RU,1608217715
Gualeguay,-33.14,-59.31,91.18,21,0,4.41,AR,1608217716
Hobart,-42.88,147.33,57.99,93,75,3.36,AU,1608217253
Saint Paul Harbor,57.79,-152.41,37.4,86,90,17.22,US,1608217376
Putai,46.66,1.99,53.6,76,75,8.05,FR,1608217716
Departamento de Maldonado,-34.67,-54.92,84.2,42,20,5.82,UY,1608217717
Tasiilaq,65.61,-37.64,21.2,53,40,11.41,GL,1608217488
Bhādāsar,28.28,74.32,49.89,40,0,5.66,IN,1608217717
San Vicente,-26.62,-54.13,85.39,47,43,3.4,AR,1608217717
Souillac,-20.52,57.52,80.6,78,75,14.99,MU,1608217467
Shimoda,34.67,138.95,33.01,74,0,8.05,JP,1608217519
Abhā,18.22,42.51,64.4,63,20,11.41,SA,1608217641
George,-33.96,22.46,69.8,64,20,9.17,ZA,1608217710
Lebu,-37.62,-73.65,61.27,56,33,12.46,CL,1608217498
Binzhou,37.37,118.02,34,54,100,3.36,CN,1608217536
Dunedin,-45.87,170.5,54,85,100,4.0,NZ,1608217297
Liuzhou,24.31,109.39,46.4,55,100,11.05,CN,1608217501
Nome,64.5,-165.41,1.4,59,1,12.75,US,1608217443
Saldanha,-33.01,17.94,66.72,76,26,25.99,ZA,1608217480
Pandan,14.05,124.17,79.83,82,91,18.79,PH,1608217720
Vanimo,-2.67,141.3,80.11,81,96,2.98,PG,1608217601
Marawi,8.0,124.29,75.99,94,100,1.99,PH,1608217720
Singaparna,-7.35,108.11,73.53,86,100,2.06,ID,1608217721
Ishigaki,24.34,124.16,70.39,78,48,19.42,JP,1608217721
Moose Factory,51.26,-80.61,15.8,72,90,14.99,CA,1608217721
Martapura,-3.42,114.85,77,94,90,4.7,ID,1608217721
Kruisfontein,-34.0,24.73,73.99,65,100,8.01,ZA,1608217495
Qaanaaq,77.48,-69.36,3.43,73,0,5.14,GL,1608217450
Doha,25.29,51.53,75.2,64,0,4.7,QA,1608217722
Conceição do Araguaia,-8.26,-49.26,94.46,48,0,3.22,BR,1608217722
Port-Gentil,-0.72,8.78,84.2,79,75,12.75,GA,1608217449
Khatanga,71.97,102.5,-27.31,82,1,7.94,RU,1608217470
Atlantic Beach,30.33,-81.4,54,87,40,10.29,US,1608217723
Taltal,-25.4,-70.48,68.41,60,22,6.85,CL,1608217570
Mahon,39.89,4.27,62.6,82,75,10.29,ES,1608217724
Changji,44.02,87.32,-2.2,84,40,2.24,CN,1608217724
De-Kastri,51.47,140.78,1.71,84,100,15.43,RU,1608217724
Cape Canaveral,28.41,-80.6,66.2,93,90,6.93,US,1608217724
Srandakan,-7.94,110.25,66,95,100,5.5,ID,1608217725
Bentiu,9.23,29.83,94.33,14,15,5.14,SS,1608217725
Thohoyandou,-22.95,30.48,64.4,93,100,4.7,ZA,1608217472
Murray Bridge,-35.12,139.27,54,75,60,4.0,AU,1608217725
Baykit,61.67,96.37,-5.93,87,100,3.38,RU,1608217726
Lethem,3.38,-59.8,88.83,54,74,9.4,GY,1608217726
Lumeje,-11.55,20.78,80.96,61,84,6.38,AO,1608217726
Kristinestad,62.27,21.38,30.76,96,97,6.08,FI,1608217727
Wenling,28.37,121.36,48,91,100,10.58,CN,1608217465
Abonnema,4.71,6.79,91.4,59,40,4.7,NG,1608217727
Salinas,36.68,-121.66,53.6,100,90,11.41,US,1608217727
Cidreira,-30.18,-50.21,76.41,75,9,18.32,BR,1608217504
Ilulissat,69.22,-51.1,12.2,66,20,2.24,GL,1608217568
Edéa,3.8,10.13,86,79,40,4.7,CM,1608217705
Vila Franca do Campo,37.72,-25.43,64.4,88,40,17.22,PT,1608217518
Kota Belud,6.35,116.43,75.2,94,20,3.36,MY,1608217729
Puerto Nariño,-3.77,-70.38,78.8,94,75,3.36,CO,1608217729
Puteyets,65.17,57.09,2.68,91,3,5.1,RU,1608217729
Vardø,70.37,31.11,15.8,78,20,11.41,NO,1608217580
Esperance,-33.87,121.9,57.2,71,0,9.17,AU,1608217450
Swan Hill,-35.34,143.55,61.66,60,72,14.52,AU,1608217730
Kirakira,-10.45,161.92,80.26,78,69,1.88,SB,1608217730
