City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Port Augusta,-32.5,137.77,66.2,77,90,16.11,AU,1608127912
Ushuaia,-54.8,-68.3,46.4,70,75,20.8,AR,1608127754
Albany,42.6,-73.97,15.01,72,75,8.05,US,1608127711
Yellowknife,62.46,-114.35,-40.0,72,20,8.05,CA,1608127913
Juneau,58.3,-134.42,30.99,92,90,6.91,US,1608127913
Antigonish,45.62,-62.0,17.01,88,99,11.01,CA,1608127914
Fortuna,40.6,-124.16,54.0,90,94,5.01,US,1608127914
Saint Paul Harbor,57.79,-152.41,26.6,79,1,5.82,US,1608127758
Atuona,-9.8,-139.03,78.28,77,11,22.91,PF,1608127915
Butaritari,3.07,172.79,81.0,81,73,17.54,KI,1608127915
Laguna,38.42,-121.42,39.99,93,90,3.29,US,1608127795
Mar del Plata,-38.0,-57.56,72.0,40,0,21.92,AR,1608127635
Bluff,-46.6,168.33,48.0,98,100,5.99,NZ,1608127916
Andapa,-14.65,49.65,79.07,69,33,4.12,MG,1608127916
Upernavik,72.79,-56.15,17.96,81,0,4.03,GL,1608127916
Ribeira Grande,38.52,-28.7,66.2,82,20,20.8,PT,1608127917
Colombo,6.93,79.85,82.4,78,40,1.12,LK,1608127917
Hobart,-42.88,147.33,55.0,87,90,6.93,AU,1608127664
East London,-33.02,27.91,73.4,69,20,9.17,ZA,1608127918
Batagay,67.63,134.63,-32.76,77,98,1.21,RU,1608127918
Hermanus,-34.42,19.23,73.99,62,47,8.01,ZA,1608127918
Airai,-8.93,125.41,62.73,100,99,1.74,TL,1608127918
Sangar,63.92,127.47,-44.19,78,99,3.44,RU,1608127919
Bambous Virieux,-20.34,57.76,80.6,83,75,11.41,MU,1608127919
Bredasdorp,-34.53,20.04,71.6,56,0,10.29,ZA,1608127919
Vaini,-21.2,-175.2,73.4,88,75,10.29,TO,1608127919
Tilichiki,60.47,166.1,-2.42,93,100,14.18,RU,1608127920
Goderich,43.75,-81.72,21.2,79,100,18.34,CA,1608127920
Lebu,-37.62,-73.65,58.96,54,0,19.71,CL,1608127833
Norman Wells,65.28,-126.83,-20.2,75,75,5.82,CA,1608127921
Hasaki,35.73,140.83,33.8,59,20,6.93,JP,1608127746
Mount Gambier,-37.83,140.77,59.0,87,90,11.41,AU,1608127921
Thompson,55.74,-97.86,-5.8,83,90,2.24,CA,1608127756
Tutóia,-2.76,-42.27,87.15,58,100,13.89,BR,1608127921
Kandrian,-6.22,149.55,79.18,85,100,6.24,PG,1608127922
Puerto Ayora,-0.74,-90.35,71.01,96,63,4.0,EC,1608127922
Lompoc,34.64,-120.46,48.99,65,1,9.17,US,1608127923
Hilo,19.73,-155.09,71.6,83,75,4.7,US,1608127923
Atambua,-9.11,124.89,76.75,91,99,3.44,ID,1608127923
Mataura,-46.19,168.86,48.0,98,100,5.99,NZ,1608127923
Brigantine,39.41,-74.36,42.01,80,90,4.7,US,1608127924
Mossendjo,-2.95,12.73,80.04,75,100,4.65,CG,1608127924
Te Anau,-45.42,167.72,54.16,92,100,1.52,NZ,1608127924
Cape Town,-33.93,18.42,71.6,56,0,18.34,ZA,1608127815
Torbay,47.67,-52.73,30.99,68,75,36.91,CA,1608127925
Clyde River,70.47,-68.59,1.4,84,1,14.99,CA,1608127925
Ponta do Sol,32.67,-17.1,68.0,56,20,11.41,PT,1608127926
Comodoro Rivadavia,-45.87,-67.5,66.2,34,0,18.34,AR,1608127926
Nanortalik,60.14,-45.24,30.06,89,100,13.53,GL,1608127926
Port Maria,18.37,-76.89,84.0,97,49,11.79,JM,1608127927
Fairbanks,64.84,-147.72,8.6,46,90,11.41,US,1608127826
Havre-St-Pierre,50.23,-63.6,8.6,55,1,17.22,CA,1608127927
Askim,59.58,11.16,34.0,96,0,2.04,NO,1608127927
Richards Bay,-28.78,32.04,77.05,65,0,10.07,ZA,1608127928
Nakhon Thai,17.1,100.84,77.0,83,20,3.96,TH,1608127928
Bugene,-1.59,31.14,73.06,60,93,5.99,TZ,1608127928
Chala,-7.58,31.27,71.6,73,75,8.05,TZ,1608127929
Busselton,-33.65,115.33,59.0,72,0,1.01,AU,1608127929
Broome,42.25,-75.83,19.0,78,100,1.01,US,1608127930
Aklavik,68.22,-135.01,-23.8,67,100,8.05,CA,1608127930
Avarua,-21.21,-159.78,80.6,83,100,17.22,CK,1608127930
Ridgecrest,35.62,-117.67,30.99,49,1,4.7,US,1608127930
Sibu,2.3,111.82,78.8,94,40,2.24,MY,1608127725
Rikitea,-23.12,-134.97,76.55,73,0,9.19,PF,1608127931
Katangli,51.71,143.23,7.68,86,100,23.15,RU,1608127931
Río Gallegos,-51.62,-69.22,55.4,43,75,23.04,AR,1608127890
Katherine,-14.47,132.27,78.8,83,100,11.41,AU,1608127932
Vanimo,-2.67,141.3,80.47,83,100,6.62,PG,1608127932
Volosovo,59.43,29.48,30.99,100,90,6.71,RU,1608127933
Kaitangata,-46.28,169.85,51.01,97,100,5.01,NZ,1608127933
São Filipe,14.9,-24.5,74.26,72,62,9.44,CV,1608127900
Punta Arenas,-53.15,-70.92,51.8,62,75,21.92,CL,1608127933
Bathsheba,13.22,-59.52,84.2,74,40,12.75,BB,1608127934
Birao,10.28,22.79,95.5,10,47,9.28,CF,1608127934
Qaanaaq,77.48,-69.36,4.96,70,0,5.84,GL,1608127934
Half Moon Bay,37.46,-122.43,48.0,93,1,3.36,US,1608127711
Tasiilaq,65.61,-37.64,23.0,57,75,17.22,GL,1608127935
Yangi Marg`ilon,40.43,71.72,32.0,82,0,2.3,UZ,1608127935
Salalah,17.02,54.09,80.6,54,40,11.41,OM,1608127935
Bethel,41.37,-73.41,21.99,48,1,6.93,US,1608127815
Barrow,71.29,-156.79,-7.6,69,1,26.4,US,1608127936
Cabo San Lucas,22.89,-109.91,60.01,82,20,5.82,MX,1608127859
Bengkulu,-3.8,102.27,76.21,86,100,7.11,ID,1608127936
Swan Hill,-35.34,143.55,69.73,78,16,6.8,AU,1608127936
Cockburn Town,21.46,-71.14,77.0,73,40,13.87,TC,1608127937
Buta,2.79,24.73,96.01,26,33,3.98,CD,1608127937
Sola,-13.88,167.55,81.0,82,39,17.98,VU,1608127937
Jamestown,42.1,-79.24,23.0,67,20,9.17,US,1608127797
Port Hedland,-20.32,118.57,82.4,78,28,10.29,AU,1608127938
Dikson,73.51,80.55,-23.49,85,35,4.74,RU,1608127938
Lalibela,12.03,39.03,72.43,20,1,4.65,ET,1608127938
Conceição do Araguaia,-8.26,-49.26,91.58,56,52,2.35,BR,1608127939
Benjamin Constant,-4.38,-70.03,80.6,74,75,0.49,BR,1608127939
San Rafael,-34.62,-68.33,79.32,17,0,6.55,AR,1608127939
Visby,57.64,18.3,44.6,93,0,14.99,SE,1608127940
Khatanga,71.97,102.5,-31.97,81,0,5.46,RU,1608127940
Havelock,34.88,-76.9,50.0,100,90,9.17,US,1608127940
Lichinga,-13.31,35.24,66.2,93,75,5.82,MZ,1608127940
Orodara,10.95,-4.93,93.2,26,0,5.82,BF,1608127941
Saint-Philippe,-21.36,55.77,82.4,74,20,14.99,RE,1608127941
Tabou,4.42,-7.35,83.84,69,62,8.68,CI,1608127941
Severo-Kuril'sk,50.68,156.12,26.82,87,3,4.23,RU,1608127941
Saint George,37.1,-113.58,21.2,67,1,1.61,US,1608127941
Raudeberg,61.99,5.14,45.0,84,77,13.8,NO,1608127942
El Alto,-4.27,-81.21,71.6,78,75,12.75,PE,1608127942
Nikolskoye,59.7,30.79,30.99,100,90,6.71,RU,1608127942
Ortigueira,-24.21,-50.95,82.78,53,39,3.67,BR,1608127943
Harper,4.38,-7.72,83.8,69,100,8.41,LR,1608127943
Iqaluit,63.75,-68.51,5.0,77,90,23.04,CA,1608127943
Port Hardy,50.7,-127.42,46.4,87,90,16.11,CA,1608127800
Codrington,-38.27,141.97,59.81,96,100,4.36,AU,1608127944
Kavaratti,10.57,72.64,82.53,67,9,5.08,IN,1608127944
Hobyo,5.35,48.53,80.1,68,74,20.6,SO,1608127944
Dingle,11.0,122.67,75.87,91,96,8.72,PH,1608127945
Luanda,-8.84,13.23,84.2,66,40,12.75,AO,1608127945
Killybegs,54.63,-8.45,48.2,87,40,14.99,IE,1608127945
Faanui,-16.48,-151.75,80.04,78,100,22.24,PF,1608127945
Vostok,46.49,135.88,-14.15,91,75,6.53,RU,1608127946
Mocuba,-16.84,36.99,93.2,48,95,2.48,MZ,1608127946
Port Macquarie,-31.43,152.92,73.4,94,90,14.99,AU,1608127947
Asău,46.43,26.4,35.01,96,90,1.68,RO,1608127947
Laibin,23.7,109.27,45.82,57,93,12.46,CN,1608127947
Kruisfontein,-34.0,24.73,78.01,40,0,5.99,ZA,1608127947
